               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,             0.02939,           0.0052407,                   0,             0.95897,                0.96,             0.98037,             0.54225,            0.029429,           0.0041003,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.027902,           0.0048553,                   0,             0.91822,                0.92,             0.95608,              0.5402,            0.031569,           0.0040855,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.028751,           0.0052318,                   0,             0.95103,                0.96,             0.98281,              0.5544,            0.029413,           0.0040402,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.029168,           0.0057399,                   0,                   1,             0.95967,             0.98833,              0.5558,            0.030827,           0.0040336,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.028568,           0.0050102,                   0,             0.95244,                0.92,             0.93832,             0.54027,            0.031593,           0.0040183,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.027009,           0.0053884,                   0,             0.99164,                0.96,             0.99071,             0.56007,            0.028866,           0.0039663,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.025897,            0.005101,                   0,             0.98915,                0.96,             0.99071,             0.58933,            0.027366,           0.0039215,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.027804,           0.0049069,                   0,             0.98456,                0.96,             0.98625,             0.53593,            0.032657,           0.0039873,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.028753,           0.0050714,                   0,              0.9915,                0.96,             0.98726,             0.57987,            0.029415,           0.0039749,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.025458,            0.006018,                   0,             0.99385,                0.96,             0.99071,             0.55678,            0.030275,           0.0038958,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.026132,           0.0046007,                   0,             0.99862,                0.96,             0.99204,             0.55111,            0.029134,            0.003911,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.026655,            0.004913,                   0,                   1,             0.95697,             0.99204,             0.51416,            0.028726,           0.0039339,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.026933,           0.0054831,                   0,             0.92234,             0.95044,             0.96163,             0.50909,            0.030511,           0.0038943,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.025529,            0.004914,                   0,             0.98367,                0.96,             0.99346,             0.53007,            0.028599,           0.0038176,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.026457,           0.0054491,                   0,               0.999,                   1,               0.995,             0.54672,            0.028635,           0.0037589,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,             0.02627,           0.0047211,                   0,             0.94853,                   1,             0.99192,             0.55558,            0.029076,           0.0038066,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.025435,           0.0047838,                   0,                   1,             0.95354,             0.99346,             0.54539,            0.028345,            0.003828,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.025442,           0.0056464,                   0,                   1,             0.98632,               0.995,             0.55242,            0.028301,           0.0038137,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.025335,           0.0050519,                   0,             0.95424,                0.96,             0.99044,             0.57092,            0.028389,           0.0037994,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.025398,           0.0053808,                   0,             0.95686,                0.96,             0.98406,             0.54185,            0.028174,           0.0038004,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.024666,           0.0047618,                   0,             0.95808,                0.96,             0.98948,             0.52173,             0.03026,           0.0037284,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.024015,           0.0040916,                   0,             0.99018,                0.96,                0.98,             0.48527,            0.029548,           0.0036664,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.024447,           0.0044895,                   0,                   1,             0.98808,               0.995,             0.52012,            0.029358,           0.0036936,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.022886,           0.0046431,                   0,             0.99639,                0.96,             0.99346,             0.51725,            0.030164,           0.0037961,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.024422,           0.0047718,                   0,             0.99829,                0.96,             0.99346,             0.51851,            0.029829,           0.0037718,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.022539,            0.005019,                   0,             0.95982,             0.95575,             0.98086,             0.51451,            0.029314,           0.0037603,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.025087,           0.0052238,                   0,             0.95742,                0.92,             0.97723,             0.51781,            0.029553,           0.0037365,                   0,           0.0040105,           0.0040105,           0.0040105
